Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield_MI_14qyPNO
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield
Central US Sales Director - Renewables SaaS,SkyVisor,Solutions logicielles pour la maintenance prédictive des infrastructures énergétiques.,Permanent contract,Dallas,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",20,12 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/regional-sales-director-midwest-usa-renewables-saas_dallas
Technical Training Instructor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Automotive,420,16 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/technical-training-instructor_irvine_MI_kAzPz6w
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Raleigh,,Automotive,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_charlotte_MI_2ZLRD7j
"Project Manager, Learning and Development",MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Automotive,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/project-manager-learning-and-development_irvine
Survey Party Chief M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,Building / Public Works,"117,000",19 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/survey-party-chief-m-f_norfolk
Automotive Technical Advisor/Mechanic,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive,420,26 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-technical-advisor-mechanic_san-francisco_MI_e39Y0k7
Sales Manager- Contracts,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,Aeronautics / Space,"14,000",26 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/contract-sales-manager_irvine
Processor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,29 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/processor_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Washington,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_washington
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_cleveland
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Houston,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_houston
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Phoenix,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_phoenix
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Philadelphia,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_philadelphia
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Denver,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_denver
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Atlanta,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_atlanta
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_dallas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tampa,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_tampa
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Austin,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_austin
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Las Vegas,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_las-vegas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Orlando,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mrqwARN
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Chicago,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/1_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Automotive,420,last month,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mxjdgDe
